country_code,region
ATG,Latin America & Caribbean
ARG,Latin America & Caribbean
BHS,Latin America & Caribbean
BRB,Latin America & Caribbean
BLZ,Latin America & Caribbean
BOL,Latin America & Caribbean
BRA,Latin America & Caribbean
CHL,Latin America & Caribbean
COL,Latin America & Caribbean
CRI,Latin America & Caribbean
CUB,Latin America & Caribbean
DMA,Latin America & Caribbean
DOM,Latin America & Caribbean
ECU,Latin America & Caribbean
SLV,Latin America & Caribbean
GRD,Latin America & Caribbean
GTM,Latin America & Caribbean
GUY,Latin America & Caribbean
HTI,Latin America & Caribbean
HND,Latin America & Caribbean
JAM,Latin America & Caribbean
MEX,Latin America & Caribbean
NIC,Latin America & Caribbean
PAN,Latin America & Caribbean
PRY,Latin America & Caribbean
PER,Latin America & Caribbean
KNA,Latin America & Caribbean
LCA,Latin America & Caribbean
VCT,Latin America & Caribbean
SUR,Latin America & Caribbean
TTO,Latin America & Caribbean
URY,Latin America & Caribbean
VEN,Latin America & Caribbean
GUF,Latin America & Caribbean
AIA,Latin America & Caribbean
ABW,Latin America & Caribbean
VGB,Latin America & Caribbean
CYM,Latin America & Caribbean
CUW,Latin America & Caribbean
GLP,Latin America & Caribbean
MTQ,Latin America & Caribbean
MSR,Latin America & Caribbean
SXM,Latin America & Caribbean
TCA,Latin America & Caribbean
PRI,Latin America & Caribbean
VIR,Latin America & Caribbean
FLK,Latin America & Caribbean
