"Selected Nomen","Native Nomen","Reporter","Reporter Name","Product","Product Name","Partner","Partner Name","Tariff Year","Trade Year","Trade Source","DutyType","Simple Average","Weighted Average","Standard Deviation","Minimum Rate","Maximum Rate","Nbr of Total Lines","Nbr of DomesticPeaks","Nbr of InternationalPeaks","Imports Value in 1000 USD","Binding Coverage"
"HS","H0","032","Argentina"," Total","Total Trade","000"," World",1992,1992,"TRN","AHS",14.17,12.65,7.69,0,35,89967,0,27855,14838267,
"HS","H0","032","Argentina"," Total","Total Trade","000"," World",1992,1992,"TRN","MFN",12.63,12.65,7.43,0,35,8569,0,2341,14838267,
"HS","H0","032","Argentina"," Total","Total Trade","000"," World",1993,1993,"CMT","AHS",13.15,12.53,4.9,0,20,102807,0,6860,16763003.265,
"HS","H0","032","Argentina"," Total","Total Trade","000"," World",1993,1993,"CMT","MFN",11.19,12.53,5.05,0,20,8730,0,515,16763003.239,
"HS","H0","032","Argentina"," Total","Total Trade","000"," World",1995,1995,"CMT","AHS",12.7,8.34,8.32,0,30,108443,0,37031,20120568.862,
"HS","H0","032","Argentina"," Total","Total Trade","000"," World",1995,1995,"CMT","BND",31.8,32.03,7.01,0,35,12528,0,12421,20120568.854,100
"HS","H0","032","Argentina"," Total","Total Trade","000"," World",1995,1995,"CMT","MFN",12.1,11.41,7.61,0,30,8837,0,2826,20120568.854,
"HS","H0","036","Australia"," Total","Total Trade","000"," World",1991,1991,"CMT","AHS",12.46,9.1,14.59,0,60,75417,6006,22965,38417308.293,
"HS","H0","036","Australia"," Total","Total Trade","000"," World",1991,1991,"CMT","MFN",11.67,10.27,15.14,0,60,5798,507,1792,38417308.293,
"HS","H0","036","Australia"," Total","Total Trade","000"," World",1993,1993,"CMT","AHS",8.87,7.6,11.23,0,60,78595,5873,8853,42297612.945,
"HS","H0","036","Australia"," Total","Total Trade","000"," World",1993,1993,"CMT","MFN",8.75,8.86,11.87,0,60,5766,519,645,42297612.945,
"HS","H0","040","Austria"," Total","Total Trade","000"," World",1990,1994,"CMT","AHS",8.97,10.17,8.16,0,80,122812,3823,23793,55290414.029,
"HS","H0","040","Austria"," Total","Total Trade","000"," World",1990,1994,"CMT","MFN",8.43,10.4,9.01,0,80,7728,309,1529,55290414.016,
"HS","H0","068","Bolivia"," Total","Total Trade","000"," World",1993,1993,"CMT","AHS",9.73,9.44,1.15,5,10,24956,0,0,1176687.1,
"HS","H0","068","Bolivia"," Total","Total Trade","000"," World",1993,1993,"CMT","MFN",9.81,9.44,0.99,5,10,6099,0,0,1176687.1,
"HS","H0","068","Bolivia"," Total","Total Trade","000"," World",1994,1994,"CMT","AHS",9.96,9.95,0.43,2,10,30227,0,0,1196257.515,
"HS","H0","068","Bolivia"," Total","Total Trade","000"," World",1994,1994,"CMT","MFN",9.99,9.95,0.23,2,10,6712,0,0,1196257.516,
