Year,Economy,Economy Label,Partner,Partner Label,Flow,Flow Label,Absolute value,Absolute value Footnote,Concentration Index,Concentration Index Footnote,Diversification Index,Diversification Index Footnote
1995,0000,"World",0000,"World",01,"Imports",261,,0.051978,,0,
1995,0000,"World",0000,"World",02,"Exports",261,,0.052115,,0,
1995,004,"Afghanistan",0000,"World",01,"Imports",139,,0.151285,"Estimated",0.648443,"Estimated"
1995,004,"Afghanistan",0000,"World",02,"Exports",62,,0.339867,"Estimated",0.76417,"Estimated"
1995,008,"Albania",0000,"World",01,"Imports",218,,0.093712,"Estimated",0.504696,"Estimated"
1995,008,"Albania",0000,"World",02,"Exports",98,,0.191741,"Estimated",0.722796,"Estimated"
1995,012,"Algeria",0000,"World",01,"Imports",231,,0.083924,,0.454993,
1995,012,"Algeria",0000,"World",02,"Exports",99,,0.522925,,0.824735,
1995,020,"Andorra",0000,"World",01,"Imports",180,,0.087638,"Estimated",0.498162,"Estimated"
1995,020,"Andorra",0000,"World",02,"Exports",50,,0.211217,,0.556291,
1995,024,"Angola",0000,"World",01,"Imports",203,,0.137417,"Estimated",0.512517,"Estimated"
1995,024,"Angola",0000,"World",02,"Exports",36,,0.89161,"Estimated",0.763093,"Estimated"
1995,028,"Antigua and Barbuda",0000,"World",01,"Imports",169,,0.163993,"Estimated",0.487877,"Estimated"
1995,028,"Antigua and Barbuda",0000,"World",02,"Exports",46,,0.309008,"Estimated",0.651022,"Estimated"
1995,031,"Azerbaijan",0000,"World",01,"Imports",188,,0.075926,,0.524798,
1995,031,"Azerbaijan",0000,"World",02,"Exports",138,,0.41643,,0.709892,
1995,032,"Argentina",0000,"World",01,"Imports",246,,0.056385,,0.298453,
1995,032,"Argentina",0000,"World",02,"Exports",240,,0.124355,,0.570205,
1995,036,"Australia",0000,"World",01,"Imports",252,,0.06415,,0.224741,
1995,036,"Australia",0000,"World",02,"Exports",257,,0.120541,,0.554388,
1995,040,"Austria",0000,"World",01,"Imports",257,,0.051651,,0.224141,
1995,040,"Austria",0000,"World",02,"Exports",248,,0.061306,,0.37809,
1995,044,"Bahamas",0000,"World",01,"Imports",166,,0.101787,"Estimated",0.459152,"Estimated"
1995,044,"Bahamas",0000,"World",02,"Exports",55,,0.343391,,0.760904,
1995,048,"Bahrain",0000,"World",01,"Imports",229,,0.274642,"Estimated",0.463397,"Estimated"
1995,048,"Bahrain",0000,"World",02,"Exports",183,,0.399387,"Estimated",0.756383,"Estimated"
1995,050,"Bangladesh",0000,"World",01,"Imports",234,,0.114567,"Estimated",0.530794,"Estimated"
1995,050,"Bangladesh",0000,"World",02,"Exports",110,,0.335423,"Estimated",0.80155,"Estimated"
1995,051,"Armenia",0000,"World",01,"Imports",198,,0.203363,"Estimated",0.608297,"Estimated"
1995,051,"Armenia",0000,"World",02,"Exports",121,,0.128452,"Estimated",0.597078,"Estimated"
1995,052,"Barbados",0000,"World",01,"Imports",210,,0.068999,"Estimated",0.364511,"Estimated"
1995,052,"Barbados",0000,"World",02,"Exports",103,,0.171912,"Estimated",0.616482,"Estimated"
1995,056,"Belgium",0000,"World",01,"Imports",257,,0.079061,,0.24744,
1995,056,"Belgium",0000,"World",02,"Exports",254,,0.116746,,0.377589,
1995,060,"Bermuda",0000,"World",01,"Imports",170,,0.146947,"Estimated",0.503357,"Estimated"
1995,060,"Bermuda",0000,"World",02,"Exports",20,,0.435061,"Estimated",0.682797,"Estimated"
1995,064,"Bhutan",0000,"World",01,"Imports",91,,0.163575,"Estimated",0.490499,"Estimated"
1995,064,"Bhutan",0000,"World",02,"Exports",41,,0.290513,"Estimated",0.619778,"Estimated"
1995,068,"Bolivia (Plurinational State of)",0000,"World",01,"Imports",219,,0.059711,"Estimated",0.398361,"Estimated"
1995,068,"Bolivia (Plurinational State of)",0000,"World",02,"Exports",113,,0.199144,"Estimated",0.782402,"Estimated"
1995,070,"Bosnia and Herzegovina",0000,"World",01,"Imports",216,,0.076749,"Estimated",0.508509,"Estimated"
1995,070,"Bosnia and Herzegovina",0000,"World",02,"Exports",124,,0.155827,"Estimated",0.567013,"Estimated"
1995,072,"Botswana",0000,"World",01,"Imports",233,,0.064848,"Estimated",0.378412,"Estimated"
1995,072,"Botswana",0000,"World",02,"Exports",132,,0.705553,"Estimated",0.878204,"Estimated"
1995,076,"Brazil",0000,"World",01,"Imports",251,,0.071341,,0.292844,
1995,076,"Brazil",0000,"World",02,"Exports",241,,0.086546,,0.519926,
1995,084,"Belize",0000,"World",01,"Imports",171,,0.118442,"Estimated",0.473437,"Estimated"
1995,084,"Belize",0000,"World",02,"Exports",47,,0.317835,"Estimated",0.744955,"Estimated"
1995,090,"Solomon Islands",0000,"World",01,"Imports",143,,0.124832,"Estimated",0.42497,"Estimated"
1995,090,"Solomon Islands",0000,"World",02,"Exports",19,,0.577046,"Estimated",0.701742,"Estimated"
1995,092,"British Virgin Islands",0000,"World",01,"Imports",67,,0.539938,,0.719186,
1995,092,"British Virgin Islands",0000,"World",02,"Exports",28,,0.287964,,0.703686,
1995,096,"Brunei Darussalam",0000,"World",01,"Imports",213,,0.080988,"Estimated",0.458673,"Estimated"
1995,096,"Brunei Darussalam",0000,"World",02,"Exports",88,,0.597482,"Estimated",0.812824,"Estimated"
