Year,Series,Series Label,Economy,Economy Label,Flow,Flow Label,US dollars at current prices in millions,US dollars at current prices in millions Footnote,Percentage of imports,Percentage of imports Footnote,Percentage of Gross Domestic Product,Percentage of Gross Domestic Product Footnote,Normalized trade balance,Normalized trade balance Footnote
2005,2102,"Trade in services by category and by partner - BPM6",0000,"World",14,"Balance",53999.422,,2.05832,,0.11365,,0.0102,
2005,2102,"Trade in services by category and by partner - BPM6",008,"Albania",14,"Balance",-116.24,,-8.40559,,-1.4436,,-0.0439,
2005,2102,"Trade in services by category and by partner - BPM6",012,"Algeria",14,"Balance",-2316,,-48.0199,,-2.24422,,-0.316,
2005,2102,"Trade in services by category and by partner - BPM6",024,"Angola",14,"Balance",-6614.155,,-97.39618,,-17.89018,,-0.9492,
2005,2102,"Trade in services by category and by partner - BPM6",028,"Antigua and Barbuda",14,"Balance",235.233,,103.46006,,22.99526,,0.3409,
2005,2102,"Trade in services by category and by partner - BPM6",031,"Azerbaijan",14,"Balance",-1917.34,,-72.11298,,-14.47549,,-0.5639,
2005,2102,"Trade in services by category and by partner - BPM6",032,"Argentina",14,"Balance",-1038.83,,-13.85681,,-0.5178,,-0.0744,
2005,2102,"Trade in services by category and by partner - BPM6",036,"Australia",14,"Balance",-830.1,,-2.51113,,-0.10909,,-0.0127,
2005,2102,"Trade in services by category and by partner - BPM6",040,"Austria",14,"Balance",9478.9,,29.63767,,2.99997,,0.1291,
2005,2102,"Trade in services by category and by partner - BPM6",044,"Bahamas",14,"Balance",1224.49,,95.1866,,12.44881,,0.3225,
2005,2102,"Trade in services by category and by partner - BPM6",048,"Bahrain",14,"Balance",1738.68,,122.76906,,10.88803,,0.3804,
2005,2102,"Trade in services by category and by partner - BPM6",050,"Bangladesh",14,"Balance",-867.582,,-36.69185,,-1.50548,,-0.2247,
2005,2102,"Trade in services by category and by partner - BPM6",051,"Armenia",14,"Balance",-147.921,,-25.58873,,-2.8305,,-0.1467,
2005,2102,"Trade in services by category and by partner - BPM6",052,"Barbados",14,"Balance",732.293,,140.22477,,18.60731,,0.4122,
2005,2102,"Trade in services by category and by partner - BPM6",056,"Belgium",14,"Balance",5090.892,,9.40398,,1.32038,,0.0449,
2005,2102,"Trade in services by category and by partner - BPM6",064,"Bhutan",14,"Balance",-85.379,,-66.77654,,-10.42641,,-0.5012,
2005,2102,"Trade in services by category and by partner - BPM6",068,"Bolivia (Plurinational State of)",14,"Balance",-24.788,,-3.63485,,-0.25958,,-0.0185,
2005,2102,"Trade in services by category and by partner - BPM6",070,"Bosnia and Herzegovina",14,"Balance",553.386,,127.05015,,4.93091,,0.3885,
2005,2102,"Trade in services by category and by partner - BPM6",072,"Botswana",14,"Balance",237.51,,39.98471,,2.39154,,0.1666,
2005,2102,"Trade in services by category and by partner - BPM6",076,"Brazil",14,"Balance",-8029.469,"Estimated",-34.21002,"Estimated",-0.90053,"Estimated",-0.2063,"Estimated"
2005,2102,"Trade in services by category and by partner - BPM6",084,"Belize",14,"Balance",148.16,,93.30445,,13.44414,,0.3181,
2005,2102,"Trade in services by category and by partner - BPM6",090,"Solomon Islands",14,"Balance",-16.561,,-28.56046,,-3.85598,,-0.1666,
2005,2102,"Trade in services by category and by partner - BPM6",096,"Brunei Darussalam",14,"Balance",-494.017,,-44.50082,,-4.67762,,-0.2862,
2005,2102,"Trade in services by category and by partner - BPM6",104,"Myanmar",14,"Balance",-216.319,,-43.51689,,-1.81311,,-0.2781,
2005,2102,"Trade in services by category and by partner - BPM6",108,"Burundi",14,"Balance",-99.288,,-74.05106,,-8.88797,,-0.5879,
2005,2102,"Trade in services by category and by partner - BPM6",1100,"Developed economies",14,"Balance",195811.24,,10.78198,,0.55586,,0.0512,
2005,2102,"Trade in services by category and by partner - BPM6",112,"Belarus",14,"Balance",1201.3,,105.28484,,3.84638,,0.3449,
2005,2102,"Trade in services by category and by partner - BPM6",1120,"Developed economies: America",14,"Balance",61819.7,,16.3477,,0.43229,,0.0756,
2005,2102,"Trade in services by category and by partner - BPM6",1130,"Developed economies: Asia",14,"Balance",-33989.8,,-22.16238,,-0.69396,,-0.1246,
2005,2102,"Trade in services by category and by partner - BPM6",1140,"Developed economies: Europe",14,"Balance",167071.64,,13.43972,,1.10197,,0.063,
2005,2102,"Trade in services by category and by partner - BPM6",1150,"Developed economies: Oceania",14,"Balance",909.7,,2.19438,,0.10389,,0.0109,
2005,2102,"Trade in services by category and by partner - BPM6",116,"Cambodia",14,"Balance",476.301,,74.21273,,7.56869,,0.2706,
2005,2102,"Trade in services by category and by partner - BPM6",120,"Cameroon",14,"Balance",-493.27,,-33.70284,,-2.74893,,-0.2027,
2005,2102,"Trade in services by category and by partner - BPM6",1200,"Developing economies",14,"Balance",-127267.479,,-17.21161,,-1.12785,,-0.0942,
2005,2102,"Trade in services by category and by partner - BPM6",1210,"Developing economies: Africa",14,"Balance",-15422.551,,-20.04296,,-1.36773,,-0.1114,
2005,2102,"Trade in services by category and by partner - BPM6",1220,"Developing economies: America",14,"Balance",-3808.125,,-3.9192,,-0.13717,,-0.02,
2005,2102,"Trade in services by category and by partner - BPM6",1230,"Developing economies: Asia",14,"Balance",-107474.056,,-19.13352,,-1.46112,,-0.1058,
2005,2102,"Trade in services by category and by partner - BPM6",124,"Canada",14,"Balance",-4442.3,,-6.73786,,-0.37867,,-0.0349,
2005,2102,"Trade in services by category and by partner - BPM6",1250,"Developing economies: Oceania",14,"Balance",-562.746,,-15.59289,,-2.2784,,-0.0846,
2005,2102,"Trade in services by category and by partner - BPM6",1300,"Transition economies",14,"Balance",-14544.34,,-21.40531,,-1.35716,,-0.1199,
2005,2102,"Trade in services by category and by partner - BPM6",132,"Cabo Verde",14,"Balance",62.056,,28.90749,,5.61393,,0.1263,
2005,2102,"Trade in services by category and by partner - BPM6",140,"Central African Republic",14,"Balance",-61.236,,-58.09352,,-4.33435,,-0.4094,
2005,2102,"Trade in services by category and by partner - BPM6",144,"Sri Lanka",14,"Balance",-1346.257,"Estimated",-46.6416,"Estimated",-4.81977,"Estimated",-0.3041,"Estimated"
2005,2102,"Trade in services by category and by partner - BPM6",148,"Chad",14,"Balance",-1459.046,,-93.11555,,-21.84,,-0.8712,
2005,2102,"Trade in services by category and by partner - BPM6",152,"Chile",14,"Balance",-533.9,,-7.09445,,-0.43419,,-0.0368,
2005,2102,"Trade in services by category and by partner - BPM6",156,"China",14,"Balance",-5502,,-6.55229,,-0.24069,,-0.0339,
2005,2102,"Trade in services by category and by partner - BPM6",158,"China, Taiwan Province of",14,"Balance",-14320,,-44.11991,,-3.82827,,-0.283,
